,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,2233,COLEGIO PARTICULAR SAN ANDRES,124,4.68,1.399
1,20183,LICEO COEDUCACIONAL INTERCULTURAL PABLO NERU,58,4.64,1.388
2,2335,ESC. ENRIQUE YANEZ GONZALEZ,60,5.44,1.14
3,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,133,4.99,1.121
4,20230,LICEO PARTICULAR SAN ROQUE,102,4.87,1.117
5,40253,ESCUELA AUDIMED LOS AROMOS,144,5.33,1.11
6,5773,ESCUELA PARTICULAR LUIS CRUZ MARTINEZ,66,5.22,1.022
7,12658,LICEO AGR. TEC. PROF. PADRE FRANCISCO NAPOLI,179,5.03,1.021
8,17764,ESCUELA PARTICULAR ARMANDO ZUNINO ZUNINO,208,5.44,1.019
9,22280,ESCUELA PARTICULAR ALONSO DE ERCILLA,62,5.54,1.014
10,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,96,5.05,0.995
11,40208,COLEGIO TECNICO PROFESIONAL ALTUE,150,5.22,0.994
12,3461,LICEO FRANCISCO ANTONIO ENCINA ARMANET,239,5.49,0.991
13,2138,ESCUELA MUNICIPAL ALBERTO BLEST GANA,134,5.17,0.99
14,3003,COLEGIO PIAGET,244,4.8,0.989
15,6572,ESCUELA PARTICULAR RAMON FREIRE,68,5.21,0.965
16,2173,COLEGIO PARTICULAR BERNARDO O'HIGGINS,224,5.14,0.957
17,16604,INSTITUTO LATINOAMERICANO-EUROPEO DE,134,5.04,0.943
18,1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,238,5.23,0.936
19,13352,LICEO POLIV.PADRE JOSE HERDE P-LHER,255,5.42,0.929
20,16461,COLEGIO LYON´S SCHOOL,345,4.83,0.927
21,3448,ESCUELA SANTA ISABEL,74,5.33,0.926
22,4561,LICEO JUAN MARTINEZ DE ROZAS,183,4.86,0.925
23,19953,ESCUELA BILINGUE AMUL KEWUN,84,5.33,0.924
24,10126,COMPLEJO EDUCACIONAL CERRO NAVIA,327,5.2,0.917
25,6267,LICEO PARTICULAR SUBV.QUINQUE,270,5.2,0.906
26,24764,ESCUELA PARTICULAR SUBV. SAN JUAN,90,5.2,0.901
27,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,257,5.21,0.9
28,22496,CENTRO EDUCACIONAL SAN NICOLAS,184,5.06,0.899
29,3317,LICEO JUAN GOMEZ MILLAS,213,5.21,0.899
30,20248,LICEO MUNICIPAL TROVOLHUE,132,5.23,0.898
31,10452,LICEO PUENTE ALTO,691,4.48,0.898
32,6465,LICEO PART. SUBVENC. LA SIERRA,126,5.16,0.898
33,17772,LICEO POLITECNICO CANETE,645,5.16,0.896
34,5701,ESCUELA PARTICULAR VILLA IRMA,243,5,0.895
35,14202,COLEGIO PANQUEHUE,207,5,0.893
36,5057,LICEO TÉCNICO PESQUERO FILIDOR GAETE MONSÁLVEZ,138,5.62,0.892
37,2749,ESCUELA AGUAS NEGRAS,180,5.25,0.889
38,7200,LICEO RODULFO AMANDO PHILIPPI,690,5.45,0.884
39,3387,LICEO FEDERICO HEISE MARTI,573,5,0.881
40,9107,LICEO ERASMO ESCALA ARRIAGADA,325,4.68,0.877
41,26516,ESCUELA BASICA N°2327 CONDORES,111,5.35,0.876
42,1851,LICEO POLITECNICO QUINTERO,335,5.15,0.873
43,4983,LICEO YOBILO DE CORONEL,341,5.13,0.873
44,1885,COLEGIO CAPITAN IGNACIO CARRERA PINTO,114,5.6,0.87
45,8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,749,4.72,0.868
46,9850,ESCUELA PARTICULAR LOS LAGOS CHILE,85,5.34,0.862
47,10645,LICEO FRANCISCO JAVIER KRUGGER ALVARADO,507,5.24,0.859
48,10735,LICEO POLIV. LUIS HUMBERTO ACOSTA GAY,231,5.42,0.858
49,16798,COLEGIO NEW BUCKINGHAM,161,5.66,0.856
