,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,331,4.77,1.85
1,3003,COLEGIO PIAGET,108,4.31,1.789
2,25362,ESC.PART. TALLERES PREVOCACIONALES PADRE HURT,54,4.74,1.7
3,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,228,4.8,1.61
4,31064,COLEGIO ALBORADA DE LAMPA,415,5.12,1.515
5,26434,COLEGIO ALVARO LAVÍN,54,4.86,1.389
6,24459,COLEGIO BETANIA,58,4.44,1.286
7,5923,LICEO AGRICOLA CRUZ DEL SUR,80,5.18,1.285
8,16642,COLEGIO ANTAMARO,64,5.29,1.24
9,16432,LICEO AGRIC.PADRE ALBERTO HURTADO,155,5.59,1.234
10,6465,LICEO PART. SUBVENC. LA SIERRA,75,5.31,1.225
11,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,67,4.72,1.18
12,25247,COLEGIO ALICURA,68,4.79,1.176
13,4561,LICEO JUAN MARTINEZ DE ROZAS,140,5.29,1.175
14,9690,CENTRO DUC.CARDENAL JOSE MARIA CARO,122,5.19,1.102
15,4555,LICEO ENRIQUE MOLINA GARMENDIA,302,5.57,1.1
16,3165,LICEO CONSTITUCION,520,5.58,1.082
17,16461,COLEGIO LYON´S SCHOOL,217,5.37,1.058
18,4777,ESCUELA PARTICULAR ESMERALDA,67,5.77,1.04
19,14206,LICEO AGRICOLA DE QUILLOTA,110,5.49,1.016
20,4708,LICEO POLIVALENTE LAS SALINAS,214,5.57,1.016
21,1384,COLEGIO CUMBRES DE BOCO,220,5.56,1.013
22,3305,LICEO POLITECNICO DE LINARES,607,5.32,1.011
23,5756,ESCUELA PARTICULAR RENGALIL,74,5.63,1.007
24,22146,COLEGIO ABRAHAM LINCOLN,78,5.86,1.006
25,40436,COLEGIO BETHEL,112,5.58,1.005
26,4533,LICEO TÉCNICO FEMENINO A-29 DE CONCEPCIÓN,503,5.56,1.001
27,25390,ESC.BASICA PART. ACONCAGUA DE PUDAHUEL,187,5.66,1.001
28,22270,LICEO NUESTRA SEÑORA DE LOURDES,94,5.7,1.001
29,10751,LICEO COMERCIAL REPUBLICA DE BRASIL,227,5.26,0.998
30,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,298,5.99,0.985
31,5021,LICEO TÉCNICO PROFESIONAL DOCTOR RIGOBERTO IGLESIAS BASTÍAS DE LEBU,623,5.3,0.983
32,8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,331,5.88,0.983
33,11527,LICEO POLITECNICO METODISTA LA GRANJA,247,5.22,0.982
34,8162,LICEO ALFREDO DEL CARMEN BARRIA OYARZUN,430,5.66,0.979
35,20136,LICEO POLITECNICO LOS NOGALES,77,5.42,0.979
36,1422,LICEO PEDRO DE VALDIVIA,220,5.57,0.979
37,6267,LICEO PARTICULAR SUBV.QUINQUE,103,5.65,0.976
38,3355,ESCUELA GABRIELA MISTRAL,125,5.77,0.971
39,10269,LICEO MUNC.ALMIRANTE GALVARINO RIVEROS,404,5.48,0.97
40,3163,INSTITUTO POLITECNICO SUPERIOR EGIDIO ROZ,689,5.51,0.969
41,14365,COLEGIO CHARLES DICKENS,314,5.66,0.967
42,19953,ESCUELA BILINGUE AMUL KEWUN,80,5.53,0.966
43,25085,CENTRO EDUCACIONAL RENCA,101,5.27,0.96
44,9311,COLEGIO PARTICULAR ISLA WELLINGTON,124,5.85,0.959
45,17643,LICEO AGRICOLA DE NEGRETE,87,5.76,0.959
46,13168,LICEO EL PALOMAR,390,5.8,0.955
47,5046,ESCUELA PARTICULAR CERRO LA CRUZ,164,5.91,0.952
48,25995,CENTRO POLITEC. CARLOS CONDELL DE LA CISTERNA,526,5.58,0.951
49,3126,LICEO TECNICO AGRICOLA MARIA AUXILIADORA,244,5.5,0.942
