,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,6267,LICEO PARTICULAR SUBV.QUINQUE,146,5.27,1.322
1,4561,LICEO JUAN MARTINEZ DE ROZAS,80,4.66,1.31
2,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,198,5.41,1.149
3,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,401,4.91,1.084
4,16642,COLEGIO ANTAMARO,83,5.23,1.074
5,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,296,5.25,1.061
6,25247,COLEGIO ALICURA,90,4.7,1.054
7,3003,COLEGIO PIAGET,144,4.61,1.048
8,25300,ESC.BAS.NUEVOS CASTANOS DE MAIPU,59,4.72,0.99
9,1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,446,5.41,0.98
10,31064,COLEGIO ALBORADA DE LAMPA,226,4.73,0.977
11,25845,ESCUELA PART. SAN MARCELO N_ 3,288,5.06,0.975
12,40208,COLEGIO TECNICO PROFESIONAL ALTUE,221,5.19,0.952
13,4533,LICEO TÉCNICO FEMENINO A-29 DE CONCEPCIÓN,850,5.33,0.942
14,379,LICEO FEDERICO VARELA,625,5.45,0.9
15,17892,LICEO POLIVALENTE MARTA COLVIN ANDRADE,306,5.31,0.898
16,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,123,5.32,0.893
17,5686,ESCUELA PARTICULAR EL ROBLE,104,5.41,0.893
18,20230,LICEO PARTICULAR SAN ROQUE,91,5.04,0.892
19,11998,ESCUELA BASICA PARTICULAR HUEÑECITO,124,5.22,0.887
20,24459,COLEGIO BETANIA,54,5.12,0.881
21,20184,LICEO SAN SEBASTIAN,127,5.14,0.88
22,16461,COLEGIO LYON´S SCHOOL,131,5.04,0.878
23,6465,LICEO PART. SUBVENC. LA SIERRA,97,5.21,0.877
24,6434,ESCUELA PARTICULAR PORMA,53,5.64,0.876
25,10576,ESCUELA IGNACIO CARRERA PINTO,80,5.24,0.875
26,1427,ESCUELA BASICA PALESTINA,111,5.67,0.875
27,1289,COLEGIO ASSUNTA PALLOTA,217,5.17,0.869
28,3359,LICEO LAURA URRUTIA BENAVENTE,165,5.73,0.868
29,8845,COLEGIO SAN JUAN DE KRONSTADT,120,5.36,0.859
30,17764,LICEO TECNICO AGRICOLA SAN LORENCITO,134,5.87,0.853
31,3128,LICEO SAN IGNACIO,536,5.67,0.849
32,5046,ESCUELA PARTICULAR CERRO LA CRUZ,173,5.76,0.849
33,3165,LICEO CONSTITUCION,496,5.22,0.848
34,10541,LICEO COMERCIAL DE SAN BERNARDO,1230,5.38,0.847
35,12006,LICEO AGRICOLA SAN CARLOS,62,5.52,0.847
36,16462,LICEO MONSEÑOR CARLOS GONZÁLEZ CRUCHAGA,50,5.58,0.846
37,13118,ESC. BASICA MARTA EMILIANA AGUILAR ZERON,469,5.5,0.845
38,22317,COLEGIO SAN ANTONIO,217,5.42,0.845
39,8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,636,5.45,0.844
40,40298,COLEGIO BERNARDO O´HIGGINS,1105,5.5,0.844
41,2185,COLEGIO ALONSO DE ERCILLA,248,5.43,0.842
42,610,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,734,5.08,0.841
43,701,LICEO ESTELA AVILA DE PERRY,386,4.98,0.841
44,15746,MONTE CASTELLO,191,5.43,0.839
45,438,LICEO MANUEL BLANCO ENCALADA,389,5.24,0.839
46,24444,LICEO INDUSTRIAL HARDWARE,316,4.84,0.837
47,4977,LICEO COMERCIAL ANDRES BELLO LOPEZ,997,5.63,0.833
48,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,252,4.82,0.832
49,12551,LIC.PADRE ALBERTO HURTADO CRUCHAGA,328,5.59,0.832
