,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,9690,CENTRO DUC.CARDENAL JOSE MARIA CARO,119,4.69,1.224
1,4561,LICEO JUAN MARTINEZ DE ROZAS,102,4.73,1.211
2,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,55,4.39,1.207
3,3003,COLEGIO PIAGET,193,4.48,1.191
4,25257,ESCUELA NORMAY SCHOOL,114,4.64,1.187
5,20230,LICEO PARTICULAR SAN ROQUE,81,4.54,1.166
6,25630,LICEO POLIV. SAN JOSE DE LO BARNECHEA,265,5.25,1.159
7,16642,COLEGIO ANTAMARO,175,4.98,1.156
8,12658,LICEO AGR. TEC. PROF. PADRE FRANCISCO NAPOLI,140,5.29,1.073
9,40208,COLEGIO TECNICO PROFESIONAL ALTUE,197,5.27,1.066
10,1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,357,5.15,1.059
11,6465,LICEO PART. SUBVENC. LA SIERRA,136,5.03,1.05
12,25247,COLEGIO ALICURA,73,4.64,1.024
13,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,452,4.89,1.01
14,665,LICEO CARLOS ROBERTO MONDACA CORTES,411,5.32,1.009
15,3165,LICEO CONSTITUCION,665,5.11,1.006
16,3305,LICEO POLITECNICO DE LINARES,745,4.89,0.989
17,6267,LICEO PARTICULAR SUBV.QUINQUE,213,5.29,0.981
18,2833,COLEGIO AGRÍCOLA NICOLÁS MORENO VERGARA,101,5.37,0.972
19,26015,ESC.BASICA Y ESP.MARIA DE LOS ANGELES DE BUIN,112,5.63,0.971
20,25543,COLEGIO POLIV. SAN CRISTOBAL APOSTOL,103,5.1,0.966
21,1664,LICEO INDUSTRIAL MIRAFLORES ALTO,406,5.14,0.962
22,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,202,5.64,0.96
23,14202,COLEGIO PANQUEHUE,219,5.29,0.959
24,31064,COLEGIO ALBORADA DE LAMPA,237,4.91,0.956
25,3461,LICEO FRANCISCO ANTONIO ENCINA ARMANET,206,5.39,0.93
26,1048,LICEO NICOLAS FEDERICO LOHSE VARGAS,419,5.3,0.93
27,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,138,5.14,0.929
28,40029,LICEO MISTRALIANO,118,5.4,0.926
29,17764,ESCUELA PARTICULAR ARMANDO ZUNINO ZUNINO,190,5.63,0.916
30,5344,LICEO LAS ARAUCARIAS,1026,5.73,0.911
31,3482,ESCUELA JUSTA NARVAEZ,127,5.19,0.908
32,5647,ESCUELA COLLIMALLIN,56,5.8,0.9
33,1851,LICEO POLITECNICO QUINTERO,283,5.27,0.9
34,10845,LICEO PRESIDENTE BALMACEDA,772,5.43,0.896
35,8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,814,5.35,0.893
36,2464,ESCUELA JOSE DE SAN MARTIN,64,5.43,0.886
37,610,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,858,5,0.886
38,2448,LICEO EDUARDO CHARME,288,4.99,0.881
39,20136,LICEO POLITECNICO LOS NOGALES,123,5.03,0.874
40,6757,LICEO POLITECNICO BENJAMIN VICUNA MACKENNA,120,5.15,0.87
41,3317,LICEO JUAN GOMEZ MILLAS,208,5.15,0.869
42,22012,LICEO PUNTA DE RIELES,241,5.37,0.869
43,8411,LICEO POLITECNICO LUIS CRUZ MARTINEZ,241,5.54,0.869
44,2882,LICEO HUALANE,532,5.68,0.868
45,9923,ESCUELA INDUSTRIAL PARTICULAR CERRILLOS,298,4.74,0.868
46,3478,ESCUELA AGRICOLA SAGRADOS CORAZONES,164,5.41,0.867
47,22664,LICEO POLITECNICO MIRASOL,193,5.22,0.866
48,24750,TALLERES PREVOCACIONALES SAN FRANCISCO,74,4.59,0.863
49,1489,LICEO DE OLMUE,222,5.25,0.863
