,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,200,4.41,2.179
1,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,262,4.71,1.604
2,41649,ESCUELA HOSPITALARIA DE GALVARINO,59,6.18,1.574
3,24459,COLEGIO BETANIA,66,4.66,1.39
4,3003,COLEGIO PIAGET,132,5.15,1.335
5,4561,LICEO JUAN MARTINEZ DE ROZAS,173,5.24,1.268
6,3643,LICEO BICENTENARIO DE EXCELENCIA MARTÍN RUIZ DE GAMBOA,76,5.41,1.203
7,20278,ESCUELA ESPECIAL HOSPITALARIA REVIVIR,126,6.06,1.161
8,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,64,5.18,1.12
9,1384,COLEGIO CUMBRES DE BOCO,215,5.47,1.093
10,10482,COLEGIO ARTURO PRAT,354,5.4,1.079
11,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,283,5.42,1.052
12,6754,LICEO ARMANDO ROBLES RIVERA,593,5.47,1.052
13,8255,LICEO RAYEN MAPU,480,5.41,1.046
14,4389,ESCUELA PARTICULAR TRAPA TRAPA,58,5.54,1.033
15,3165,LICEO CONSTITUCION,556,5.73,1.018
16,25970,ESCUELA BAS. Y ESP. EDUCAR,50,5.68,1.007
17,6267,LICEO PARTICULAR SUBV.QUINQUE,112,5.67,0.988
18,5568,INSTITUTO SUPERIOR DE ESPECIALIDADES TECNICAS DE TEMUCO,756,5.7,0.981
19,2794,LICEO TENO,469,5.3,0.977
20,2244,INSTITUTO LAUTARO DE CODEGUA,167,5.57,0.97
21,3305,INSTITUTO POLITECNICO IRENEO BADILLA FUENTES,708,5.42,0.969
22,25162,ESC. PARTICULAR RAIN - BOW,240,5.7,0.965
23,4977,LICEO COMERCIAL ANDRES BELLO LOPEZ,914,5.75,0.964
24,5021,LICEO TÉCNICO PROFESIONAL DOCTOR RIGOBERTO IGLESIAS BASTÍAS DE LEBU,555,5.33,0.957
25,5794,ESCUELA PARTICULAR PROF.ANDRES AGUAYO,50,5.77,0.945
26,25543,COLEGIO POLIV. SAN CRISTOBAL APOSTOL,387,5.6,0.94
27,1289,COLEGIO ASSUNTA PALLOTA,314,5.6,0.936
28,20175,LICEO JUAN PABLO II,195,5.82,0.931
29,9850,ESCUELA PARTICULAR LOS LAGOS CHILE,104,5.36,0.93
30,6465,LICEO PART. SUBVENC. LA SIERRA,74,5.31,0.92
31,1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,372,5.77,0.918
32,9069,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR,271,5.7,0.915
33,438,LICEO MANUEL BLANCO ENCALADA,615,5.67,0.912
34,2447,LICEO DE HOMBRES NEANDRO SCHILLING,374,5.72,0.91
35,10452,LICEO PUENTE ALTO,236,5.28,0.907
36,5565,INSTITUTO SUPERIOR DE COMERCIO,288,5.55,0.903
37,25599,COLEGIO PART. SAN PEDRO DE QUILICURA,1095,5.5,0.903
38,22374,INSTITUTO TECNOLOGICO DEL SUR,147,5.8,0.901
39,16461,COLEGIO LYON´S SCHOOL,282,5.52,0.9
40,5053,ESCUELA JORGE IVAN VALENZUELA ZUNIGA,113,5.84,0.893
41,2732,LICEO FERNANDO LAZCANO,335,5.59,0.891
42,17790,LICEO BICENTENARIO DE EXCELENCIA NUEVO MUNDO,426,5.56,0.89
43,2205,LICEO PROFESOR MISAEL LOBOS MONROY,279,5.59,0.884
44,3461,LICEO FRANCISCO ANTONIO ENCINA ARMANET,210,5.67,0.881
45,7625,LICEO INDUSTRIAL PUERTO MONTT,453,5.37,0.878
46,2681,LICEO BICENTENARIO EL ROSARIO,401,5.55,0.878
47,22021,LICEO LAS AMERICAS,299,5.8,0.876
48,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,416,5.62,0.875
49,2806,ESCUELA HUEMUL,67,6.07,0.875
