,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,219,5.3,1.663
1,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,300,4.98,1.541
2,24459,COLEGIO BETANIA,59,4.58,1.402
3,20136,LICEO POLITECNICO LOS NOGALES,85,5.14,1.201
4,4561,LICEO JUAN MARTINEZ DE ROZAS,163,5.28,1.196
5,8255,LICEO RAYEN MAPU,519,5.31,1.182
6,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,290,5.54,1.121
7,16642,COLEGIO ANTAMARO,91,5.3,1.092
8,11838,ESCUELA PART. STA. CLARISA DE COLINA,284,5.67,1.082
9,1709,ESCUELA PATRICIO LYNCH Z.,75,6.14,1.065
10,4591,ESCUELA BASICA REPUBLICA DE GRECIA,402,5.63,1.064
11,25970,ESCUELA BAS. Y ESP. EDUCAR,52,5.88,1.053
12,3003,COLEGIO PIAGET,101,5.15,1.042
13,6465,LICEO PART. SUBVENC. LA SIERRA,76,5.43,1.041
14,31438,COLEGIO AULA CLINICA SANTA MARIA,75,6.41,1.039
15,20230,LICEO PARTICULAR SAN ROQUE,87,5.42,1.023
16,3643,LICEO MARTIN RUIZ DE GAMBOA,80,5.56,1.018
17,3840,ESCUELA BASICA NIBLINTO,84,6.07,0.995
18,3165,LICEO CONSTITUCION,552,5.76,0.99
19,8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,900,5.22,0.99
20,5021,LICEO TÉCNICO PROFESIONAL DOCTOR RIGOBERTO IGLESIAS BASTÍAS DE LEBU,581,5.4,0.986
21,5568,INSTITUTO SUPERIOR DE ESPECIALIDADES TECNICAS DE TEMUCO,800,5.74,0.967
22,14516,ESCUELA ESPECIAL CANEC,58,6.43,0.96
23,8044,LICEO POLIVALENTE DE ANCUD,231,5.72,0.96
24,1511,CENTRO EDUCATIVO REINO DE SUECIA,60,5.44,0.959
25,10526,LICEO POLIVALENTE SAN JOSE DE MAIPO,391,5.34,0.958
26,3978,ESCUELA CELIA URRUTIA PRIETO,90,5.7,0.938
27,3657,LICEO LIBERTADOR BERNARDO O´HIGGINS RIQUELME,294,5.81,0.935
28,19953,ESCUELA BILINGUE AMUL KEWUN,81,5.66,0.929
29,6754,LICEO ARMANDO ROBLES RIVERA,661,5.51,0.928
30,22021,LICEO LAS AMERICAS,292,5.54,0.925
31,2244,INSTITUTO LAUTARO DE CODEGUA,160,5.54,0.922
32,4581,ESCUELA OSCAR CASTRO ZUNIGA,98,5.78,0.922
33,3640,INSTITUTO SUPERIOR DE COMERCIO PROFESOR FERNANDO PÉREZ BECERRA,810,5.45,0.921
34,2938,INST.SUP.DE COMERCIO ENRIQUE MALDONADO S,1330,5.72,0.919
35,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,426,5.43,0.919
36,3163,INSTITUTO POLITECNICO SUPERIOR EGIDIO ROZ,673,5.61,0.918
37,5567,LICEO BICENTENARIO TECNOLÓGICO DE LA ARAUCANIA DE TEMUCO,211,5.13,0.917
38,3461,LICEO FRANCISCO ANTONIO ENCINA ARMANET,222,5.82,0.916
39,1438,COLEGIO SAULO DE TARSO,105,5.81,0.914
40,1664,LICEO INDUSTRIAL MIRAFLORES ALTO,363,5.25,0.914
41,4708,LICEO POLIVALENTE LAS SALINAS,235,5.57,0.912
42,10545,LICEO IND. MIGUEL AYLWIN GAJARDO,399,5.18,0.91
43,2163,COLEGIO CUISENAIRE,216,5.65,0.909
44,8625,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,957,5.66,0.908
45,4533,LICEO TÉCNICO FEMENINO A-29 DE CONCEPCIÓN,477,5.67,0.908
46,8162,LICEO ALFREDO DEL CARMEN BARRIA OYARZUN,416,5.8,0.906
47,1547,ESCUELA CARABINERO PEDRO A. CARIAGA M.,102,5.84,0.903
48,6267,LICEO PARTICULAR SUBV.QUINQUE,96,5.69,0.901
49,3305,INSTITUTO POLITECNICO IRENEO BADILLA FUENTES,628,5.42,0.895
