,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,4561,LICEO JUAN MARTINEZ DE ROZAS,83,4.88,1.324
1,16642,COLEGIO ANTAMARO,63,4.98,1.271
2,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,292,4.84,1.204
3,6267,LICEO PARTICULAR SUBV.QUINQUE,135,5.34,1.188
4,2464,ESCUELA JOSE DE SAN MARTIN,80,5.18,1.12
5,3165,LICEO CONSTITUCION,547,5.24,1.115
6,31064,COLEGIO ALBORADA DE LAMPA,326,5.04,1.111
7,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,402,5.08,1.067
8,6465,LICEO PART. SUBVENC. LA SIERRA,89,5.12,1.066
9,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,278,4.93,1.03
10,5686,ESCUELA PARTICULAR EL ROBLE,61,5.29,1.005
11,3003,COLEGIO PIAGET,129,4.7,0.995
12,25085,CENTRO EDUCACIONAL RENCA,69,4.59,0.975
13,9345,ESCUELA PARTICULAR LOS CASTANOS,77,5.29,0.971
14,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,235,5.65,0.97
15,25845,ESCUELA PART. SAN MARCELO N_ 3,279,5.11,0.966
16,2749,COLEGIO LOS CONQUISTADORES,121,5.29,0.957
17,2163,COLEGIO CUISENAIRE,230,5.44,0.957
18,6027,COMPLEJO EDUCACIONAL MONSEÑOR FRCO. VALDES S,318,5.44,0.935
19,14202,COLEGIO PANQUEHUE,247,5.39,0.932
20,13342,COLEGIO PARTICULAR SAN FRANCISCO JAVIER,80,5.82,0.923
21,2681,LICEO EL ROSARIO DE LITUECHE,226,5.26,0.922
22,25247,COLEGIO ALICURA,68,5.01,0.916
23,1693,ESCUELA BASICA 21 DE MAYO,124,5.48,0.911
24,16461,COLEGIO LYON´S SCHOOL,125,4.94,0.911
25,3618,LICEO FEDERICO ALBERT FAUPP,252,5.48,0.908
26,24750,TALLERES PREVOCACIONALES SAN FRANCISCO,61,4.92,0.904
27,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,124,5.39,0.901
28,2974,LICEO IGNACIO CARRERA PINTO,54,5.24,0.899
29,2185,COLEGIO ALONSO DE ERCILLA,209,5.63,0.897
30,20230,LICEO PARTICULAR SAN ROQUE,84,5.26,0.897
31,6572,ESCUELA PARTICULAR RAMON FREIRE,53,4.81,0.896
32,24444,LICEO INDUSTRIAL HARDWARE,270,4.97,0.893
33,612,ESCUELA GUILLERMO CERECEDA,243,5.42,0.893
34,24459,COLEGIO BETANIA,63,5.01,0.89
35,12006,LICEO AGRICOLA SAN CARLOS,55,5.59,0.889
36,2955,ESCUELA BRILLA EL SOL,139,5.39,0.877
37,1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,481,5.61,0.873
38,40208,COLEGIO TECNICO PROFESIONAL ALTUE,218,5.21,0.871
39,11998,ESCUELA BASICA PARTICULAR HUEÑECITO,106,5.19,0.871
40,19953,ESCUELA BILINGUE AMUL KEWUN,79,5.33,0.87
41,31006,COLEGIO LAS GAVIOTAS,52,5.78,0.864
42,379,LICEO FEDERICO VARELA,663,5.53,0.864
43,2945,ESCUELA PROSPERIDAD,287,5.53,0.863
44,31407,ESCUELA HOSPITALARIA EL CARMEN DE MAIPU,70,5.89,0.863
45,11217,COLEGIO SAINT THOMAS,361,5.58,0.861
46,25543,COLEGIO POLIV. SAN CRISTOBAL APOSTOL,232,5.16,0.859
47,31005,COL. EDUC VICTOR MANUEL GIOVANETTI ASTUDILLO,110,5.29,0.859
48,8498,LICEO DARIO SALAS,954,5.59,0.858
49,1540,ESCUELA BLAS CUEVAS RAMON ALLENDE,83,5.78,0.858
