,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,4561,LICEO JUAN MARTINEZ DE ROZAS,90,4.67,1.278
1,16642,COLEGIO ANTAMARO,137,4.93,1.217
2,3003,COLEGIO PIAGET,173,4.46,1.175
3,6267,LICEO PARTICULAR SUBV.QUINQUE,195,5.14,1.15
4,1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,399,5.12,1.122
5,20230,LICEO PARTICULAR SAN ROQUE,83,4.73,1.102
6,12234,LICEO T�CNICO DIEGO PORTALES,73,4.71,1.094
7,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,287,5.23,1.086
8,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,406,4.93,1.042
9,6572,ESCUELA PARTICULAR RAMON FREIRE,66,4.95,1.033
10,25257,ESCUELA NORMAY SCHOOL,73,4.68,1.025
11,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,121,5.04,1.011
12,12658,LICEO AGR. TEC. PROF. PADRE FRANCISCO NAPOLI,134,5.33,1.009
13,20136,LICEO POLITECNICO LOS NOGALES,100,5.22,0.997
14,16461,COLEGIO LYON�S SCHOOL,174,4.9,0.99
15,8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,745,5.31,0.984
16,25247,COLEGIO ALICURA,77,4.75,0.97
17,3482,ESCUELA JUSTA NARVAEZ,125,5.22,0.968
18,25300,ESC.BAS.NUEVOS CASTANOS DE MAIPU,101,4.39,0.961
19,6757,LICEO POLITECNICO BENJAMIN VICUNA MACKENNA,87,5.15,0.946
20,13168,LICEO EL PALOMAR,433,5.41,0.941
21,4281,ESCUELA PARTICULAR RURAL LOS COPIHUES,69,5.56,0.935
22,5729,CENTRO EDUCACIONAL AGROTUR�STICO SANTA CRUZ,89,5.5,0.929
23,8411,LICEO POLITECNICO LUIS CRUZ MARTINEZ,257,5.49,0.925
24,3165,LICEO CONSTITUCION,554,5.24,0.921
25,5374,LICEO ALONSO DE ERCILLA Y ZU�IGA,290,5.31,0.919
26,9704,ESCUELA LO VALLEDOR,107,5.52,0.912
27,11998,ESCUELA BASICA PARTICULAR HUE�ECITO,119,5.27,0.907
28,40208,COLEGIO TECNICO PROFESIONAL ALTUE,205,5.25,0.906
29,25845,ESCUELA PART. SAN MARCELO N_ 3,298,5.05,0.904
30,5773,ESCUELA PARTICULAR LUIS CRUZ MARTINEZ,52,5.26,0.904
31,802,LICEO PRESIDENTE EDUARDO FREI MONTALVA,597,4.93,0.9
32,6465,LICEO PART. SUBVENC. LA SIERRA,104,5.37,0.897
33,19953,ESCUELA BILINGUE AMUL KEWUN,84,5.43,0.895
34,372,LICEO POLITECNICO JOSE MIGUEL QUIROZ,572,5.37,0.892
35,20041,ESCUELA PARTICULAR CLAUDIO ARRAU,354,5.58,0.89
36,19923,ESCUELA NRO 15  AMI,137,5.44,0.889
37,3252,LICEO TECNICO PROFESIONAL DIEGO PORTALES,757,5.25,0.888
38,8255,LICEO RAYEN MAPU,469,5.18,0.888
39,4270,LICEO PARTICULAR CARLOS CONDELL,251,5.3,0.886
40,9419,LICEO MUNICIPAL ENRIQUE BACKAUSSE,227,5.16,0.885
41,20158,COLEGIO ALTAS CUMBRES,74,5.34,0.881
42,10329,COLEGIO LIBERTADOR SAN MARTIN,717,5.03,0.879
43,2833,COLEGIO AGR�COLA NICOL�S MORENO VERGARA,104,5.31,0.878
44,5760,ESCUELA PARTICULAR DIEGO PORTALES,54,5.77,0.87
45,3055,LICEO SAN CLEMENTE ENTRE RIOS,505,5.32,0.864
46,6922,LICEO PADRE ALCUINO,120,5.31,0.864
47,14202,COLEGIO PANQUEHUE,230,5.33,0.862
48,1650,COL. PART. CONSTANCIO VIGIL,53,6.14,0.86
49,2163,COLEGIO CUISENAIRE,269,5.21,0.854
