,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,8002,LICEO GALVARINO RIVEROS CARDENAS,1098,4.95,2.388
1,8001,LICEO POLITECNICO DE CASTRO,1223,4.6,2.036
2,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,280,4.24,1.966
3,2448,LICEO EDUARDO CHARME,338,4.48,1.961
4,14862,COLEGIO NAZAREO,185,4.78,1.918
5,25362,ESC.PART. TALLERES PREVOCACIONALES PADRE HURT,93,4.77,1.906
6,22024,LICEO AGRICOLA RADIO 24,185,4.19,1.803
7,16604,INSTITUTO LATINOAMERICANO-EUROPEO DE,144,4.28,1.795
8,1664,LICEO INDUSTRIAL MIRAFLORES ALTO,331,4.97,1.709
9,25129,ESCUELA BASICA SAINT FRANCIS COLLEGE,158,5.11,1.625
10,20230,LICEO PARTICULAR SAN ROQUE,86,4.76,1.605
11,22755,LICEO TCO. PROF. DE RIO BUENO,347,5.03,1.567
12,6953,ESCUELA RURAL EL SALTO,101,5.58,1.557
13,7328,LICEO RAHUE,394,4.84,1.549
14,2983,ESCUELA BASICA PUERTAS NEGRAS,79,5.7,1.516
15,7329,LICEO ELEUTERIO RAMIREZ,1011,4.72,1.499
16,22461,COLEGIO NUEVO HORIZONTE,216,4.92,1.482
17,3165,LICEO CONSTITUCION,530,5.54,1.471
18,17840,ESCUELA BASICA NAHUELBUTA,203,5.66,1.47
19,24508,ANEXO ESCUELA BASICA SAN JAVIER,265,4.81,1.469
20,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,282,5.38,1.461
21,2657,LICEO MUNICIPAL PABLO NERUDA,358,4.8,1.458
22,14365,COLEGIO CHARLES DICKENS,285,5.59,1.448
23,8496,LICEO JOSÉ DE SAN MARTIN,388,5.4,1.44
24,4974,ESCUELA PARTICULAR GETSEMANI,242,5.51,1.432
25,14637,COLEGIO HYATT,188,5.71,1.427
26,20095,COLEGIO CAMILO HENRIQUEZ DE PEDREGOSO,114,5.64,1.427
27,11594,COLEGIO ANTILLANCA,156,5.25,1.423
28,2378,LICEO JEAN BUCHANAN DE LARRAIN,307,4.96,1.422
29,9288,LICEO NUEVO AMANECER,389,4.7,1.418
30,11793,ESC BASICA PARTICULAR SAN VALENTIN,153,4.91,1.416
31,9687,LICEO CHRISTA MC AULIFFE,324,5.2,1.413
32,16583,ESCUELA DE ADMINISTRACION Y COMERCIO,532,5.54,1.406
33,2947,ESCUELA LAS ARAUCARIAS,74,4.83,1.402
34,9345,ESCUELA PARTICULAR LOS CASTANOS,68,5.15,1.392
35,14622,COLEGIO SAN AGUSTIN,324,5.45,1.388
36,9985,LICEO GUILLERMO LABARCA HUBERTSON,468,5.6,1.383
37,2422,LICEO FRANCISCO ANTONIO ENCINA ARMANET,747,5.85,1.382
38,25851,ESC. PART. EL ARRAYAN DE MAIPU,294,4.84,1.381
39,1967,LICEO BICENTENARIO TÉCNICO PROFESIONAL MARY GRAHAM,1267,5.23,1.381
40,13342,COLEGIO PARTICULAR SAN FRANCISCO JAVIER,83,5.46,1.381
41,12632,COLEGIO SIMON BOLIVAR,738,5.11,1.368
42,9472,LICEO POLITECNICO SAN LUIS,1341,5.42,1.368
43,7655,ESCUELA RURAL MAILLEN,71,5.71,1.355
44,31012,INSTITUTO CHILE ASIA PACIFICO,306,5.67,1.348
45,30005,COLEGIO MARIA MONTESSORI,852,5.52,1.344
46,610,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,483,5.06,1.344
47,6751,INSTITUTO COMERCIAL DE VALDIVIA,755,4.89,1.34
48,24489,ESC. PART.BASICA SAINT PHILLIP OF NERY 2,236,5.09,1.337
49,11936,COLEGIO JACQUES COUSTEAU,782,5.17,1.337
