,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,2233,COLEGIO PARTICULAR SAN ANDRES,55,4.69,1.51
1,4561,LICEO JUAN MARTINEZ DE ROZAS,126,4.87,1.15
2,3003,COLEGIO PIAGET,225,4.68,1.12
3,25845,ESCUELA PART. SAN MARCELO N_ 3,292,4.99,1.09
4,129,LICEO SUPERIOR GABRIELA MISTRAL,131,5,1.059
5,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,67,5.06,1.05
6,6572,ESCUELA PARTICULAR RAMON FREIRE,71,5.04,1.037
7,24750,TALLERES PREVOCACIONALES SAN FRANCISCO,74,4.19,1.031
8,4284,COLEGIO SAN MANUEL,103,5.38,1.022
9,2173,COLEGIO PARTICULAR BERNARDO O'HIGGINS,234,5.19,1.008
10,9107,LICEO ERASMO ESCALA ARRIAGADA,238,4.87,1.003
11,25257,ESCUELA NORMAY SCHOOL,118,4.77,0.992
12,1650,COL. PART. CONSTANCIO VIGIL,51,5.99,0.991
13,6465,LICEO PART. SUBVENC. LA SIERRA,135,5.22,0.99
14,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,151,5.01,0.984
15,40208,COLEGIO TECNICO PROFESIONAL ALTUE,168,5.15,0.969
16,2681,LICEO EL ROSARIO DE LITUECHE,240,5.09,0.96
17,40099,LICEO TECNICO PROFESIONAL PAPUDO,156,5.13,0.955
18,3448,ESCUELA SANTA ISABEL,74,5.37,0.939
19,7801,ESCUELA RURAL PUTENIO,56,5.78,0.934
20,20230,LICEO PARTICULAR SAN ROQUE,85,4.85,0.933
21,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,266,5.1,0.929
22,628,ESCUELA DE PENUELAS,161,5.66,0.919
23,26015,ESC.BASICA Y ESP.MARIA DE LOS ANGELES DE BUIN,106,5.59,0.917
24,3643,LICEO MARTIN RUIZ DE GAMBOA,179,5.18,0.915
25,7956,LICEO POLITECNICO HOLANDA,370,5.07,0.914
26,2737,COLEGIO POLIVALENTE JAPÓN,174,5.23,0.908
27,3489,ESCUELA JORGE GONZALEZ BASTIAS,55,5.67,0.903
28,665,LICEO CARLOS ROBERTO MONDACA CORTES,453,5.22,0.902
29,2185,COLEGIO ALONSO DE ERCILLA,286,5.34,0.901
30,9702,ESCUELA BASICA MARIO ARCE GATICA,378,5.54,0.892
31,3252,LICEO TECNICO PROFESIONAL DIEGO PORTALES,522,5.2,0.892
32,9690,CENTRO DUC.CARDENAL JOSE MARIA CARO,146,4.85,0.885
33,17764,ESCUELA PARTICULAR ARMANDO ZUNINO ZUNINO,194,5.57,0.884
34,22280,ESCUELA PARTICULAR ALONSO DE ERCILLA,56,5.37,0.882
35,1282,ESCUELA BUCALEMITO,113,5.65,0.882
36,14202,COLEGIO PANQUEHUE,208,5.33,0.88
37,1490,ESCUELA BÁSICA QUEBRADA DE ALVARADO,224,5.3,0.879
38,10482,COLEGIO ARTURO PRAT,505,5.17,0.878
39,9065,LICEO COMERCIAL GABRIEL GONZALEZ VIDELA,489,5.16,0.877
40,4571,ESCUELA JOSE HIPOLITO SALAS Y TORO,445,5.22,0.876
41,10077,LICEO MUN. CENTRO EDUCACIONAL PUDAHUEL,486,4.93,0.875
42,11038,LICEO GENERAL RAMON FREIRE,238,5.43,0.87
43,9419,LICEO MUNICIPAL ENRIQUE BACKAUSSE,224,5.24,0.869
44,15643,INSTITUTO CRISTIANO EDUMASTER COLLEGE,237,5.38,0.869
45,1289,COLEGIO ASSUNTA PALLOTA,233,5.25,0.868
46,1958,LICEO TECNOLOGICO VILLA ALEMANA,341,5.06,0.868
47,7234,ESCUELA PARTICULAR SAN LUIS,187,5.5,0.867
48,9293,LICEO POLIVALENTE LOS ALMENDROS,487,5.05,0.867
49,40298,COLEGIO BERNARDO O´HIGGINS,847,5.37,0.866
