,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,22637,COLEGIO SANTA RITA DE CASCIA,55,4.06,1.548
1,2233,COLEGIO PARTICULAR SAN ANDRES,122,4.91,1.356
2,24764,ESCUELA PARTICULAR SUBV. SAN JUAN,96,4.8,1.352
3,25330,COLEGIO POLIVALENTE ANTARES,77,4.15,1.284
4,15746,MONTE CASTELLO,377,4.85,1.202
5,10191,ESCUELA PARTICULAR LA CIUDAD EDUCATIVA,133,5.14,1.182
6,2173,COLEGIO PARTICULAR BERNARDO O'HIGGINS,215,5,1.107
7,4561,LICEO JUAN MARTINEZ DE ROZAS,101,4.99,1.081
8,20164,LICEO AGRICOLA SAN SEBASTIAN,169,4.66,1.051
9,12658,LICEO AGR. TEC. PROF. PADRE FRANCISCO NAPOLI,196,4.81,1.038
10,22496,CENTRO EDUCACIONAL SAN NICOLAS,209,4.94,1.008
11,665,LICEO CARLOS ROBERTO MONDACA CORTES,455,4.9,1.003
12,25019,ESC.BASICA PARTICULAR SAN PABLO APOSTOL,92,5.48,1.001
13,16642,COLEGIO ANTAMARO,182,4.88,1
14,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,150,5.08,0.987
15,6139,ESCUELA PARTICULAR SANTA RITA,62,5,0.986
16,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,291,5.12,0.983
17,40193,ESCUELA ESPECIAL DE LENGUAJE FLOR DEL VALLE,69,5.51,0.974
18,701,LICEO ESTELA AVILA DE PERRY,559,4.79,0.969
19,8411,LICEO POLITECNICO LUIS CRUZ MARTINEZ,270,5.15,0.956
20,5382,ESCUELA MILLALEVIA,89,5.68,0.948
21,8717,ESCUELA PARTICULAR SAINT HENRY SCHOOL,118,4.91,0.942
22,10405,LICEO ESMERALDA,854,4.98,0.925
23,22417,ESCUELA PARTICULAR SAN PIO DE PIELTRECINA,81,5.29,0.924
24,10397,LICEO INDUSTRIAL DE RECOLETA,437,4.69,0.924
25,3387,LICEO FEDERICO HEISE MARTI,563,4.93,0.921
26,5760,ESCUELA PARTICULAR DIEGO PORTALES,66,5.52,0.92
27,6465,LICEO PART. SUBVENC. LA SIERRA,143,5.19,0.92
28,3003,COLEGIO PIAGET,246,4.71,0.915
29,22466,LICEO DE ADMINISTRACION Y COMERCIO SAN SEBASTIAN,66,4.85,0.912
30,22397,COLEGIO TECNICO PROFESIONAL SANTA TERESA DE LOS ANDES,250,5.4,0.911
31,20139,LICEO TECNOLOGICO MONTEMARIA,272,5.07,0.91
32,8255,LICEO RAYEN MAPU,465,5.15,0.905
33,10735,LICEO POLIV. LUIS HUMBERTO ACOSTA GAY,268,5.26,0.905
34,25543,COLEGIO POLIV. SAN CRISTOBAL APOSTOL,59,4.52,0.891
35,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,190,5.56,0.89
36,20184,LICEO SAN SEBASTIAN,123,5.34,0.886
37,9865,LICEO POLIVALENTE DR. LUIS VARGAS SALCEDO,369,5.09,0.885
38,20230,LICEO PARTICULAR SAN ROQUE,112,5.06,0.883
39,7996,ESCUELA PARTICULAR N.245 SANTA ANA,54,5.21,0.882
40,3317,LICEO JUAN GOMEZ MILLAS,228,5.1,0.88
41,8936,ESCUELA ESPECIAL MC-KAY,86,5.08,0.88
42,129,LICEO SUPERIOR GABRIELA MISTRAL,129,4.97,0.879
43,40189,COLEGIO CABO ALTO,128,5.5,0.874
44,10452,LICEO PUENTE ALTO,662,4.59,0.872
45,6572,ESCUELA PARTICULAR RAMON FREIRE,61,5.09,0.872
46,3482,ESCUELA JUSTA NARVAEZ,171,5.13,0.87
47,3478,ESCUELA AGRICOLA SAGRADOS CORAZONES,201,5.36,0.868
48,4571,ESCUELA JOSE HIPOLITO SALAS Y TORO,374,5.17,0.864
49,22374,INSTITUTO TECNOLOGICO DEL SUR,362,5.31,0.863
