,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,4561,LICEO JUAN MARTINEZ DE ROZAS,175,5.01,1.397
1,3003,COLEGIO PIAGET,162,5.32,1.344
2,6465,LICEO PART. SUBVENC. LA SIERRA,69,5.24,1.251
3,26250,ESCUELA BAS. MISIONERO DE AGOSTINI,198,5.34,1.138
4,40390,ESCUELA HOSPITALARIA ALIANZA,52,5.64,1.123
5,10077,LICEO CENTRO EXPERIMENTAL PUDAHUEL CAREN,424,5.41,1.052
6,3165,LICEO CONSTITUCION,562,5.71,1.028
7,8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,898,5.33,1.024
8,5806,ESCUELA PARTICULAR DAVID RIADI MATUS,83,5.42,1.017
9,26434,COLEGIO ALVARO LAVÍN,51,5.33,1.015
10,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,275,5.14,1
11,2205,LICEO PROFESOR MISAEL LOBOS MONROY,259,5.55,1
12,16696,ESCUELA HOSPITAL LINARES,50,5.4,0.98
13,16443,CENTRO INTEGRAL EDUCACION TALCA,660,5.36,0.968
14,6751,INSTITUTO COMERCIAL DE VALDIVIA,589,5.55,0.965
15,3657,LICEO LIBERTADOR BERNARDO O´HIGGINS RIQUELME,292,5.67,0.963
16,26516,ESCUELA BASICA N°2327 CONDORES,56,5.69,0.961
17,5021,LICEO TÉCNICO PROFESIONAL DOCTOR RIGOBERTO IGLESIAS BASTÍAS DE LEBU,581,5.24,0.961
18,1511,CENTRO EDUCATIVO REINO DE SUECIA,67,5.66,0.959
19,19953,ESCUELA BILINGUE AMUL KEWUN,83,5.7,0.958
20,24459,COLEGIO BETANIA,56,5.48,0.954
21,12050,COLEGIO POLIVALENTE DARIO SALAS,179,5.69,0.952
22,11744,ESCUELA CHILLAN VIEJO,98,5.76,0.945
23,4708,LICEO POLIVALENTE LAS SALINAS,316,5.57,0.933
24,4977,LICEO COMERCIAL ANDRES BELLO LOPEZ,904,5.82,0.933
25,3163,INSTITUTO BICENTENARIO DE EXCELENCIA POLITECNICO SUPERIOR EGIDIO ROZZI SACHETTI,573,5.5,0.918
26,6757,INSTITUTO DE RECURSOS RENOVABLES Y TECNOLOGÍA LOS RÍOS,75,5.57,0.917
27,399,LICEO JOSÉ ANTONIO CARVAJAL,1050,5.36,0.917
28,25129,ESCUELA BASICA SAINT FRANCIS COLLEGE,164,5.74,0.91
29,1884,LICEO COMERCIAL ALEJANDRO LUBET V,415,5.73,0.906
30,9862,LICEO BICENTENARIO POLIVALENTE A N°71 GUILLERMO FELIU CRUZ,688,5.55,0.904
31,486,LICEO JAPÓN,516,5.87,0.897
32,13590,COLEGIO DE ADMINISTRACION Y COMERCIO EL INGENIO,443,5.68,0.897
33,15832,COLEGIO BOSQUES DE CHILE,234,5.78,0.894
34,25085,CENTRO EDUCACIONAL RENCA,131,5.05,0.891
35,1895,LICEO TECNICO PROFESIONAL MANNHEIM,293,5.67,0.891
36,20278,ESCUELA ESPECIAL HOSPITALARIA REVIVIR,127,6.3,0.889
37,9069,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR,233,5.68,0.887
38,701,LICEO ESTELA AVILA MOLINA,663,5.59,0.886
39,20184,LICEO SAN SEBASTIAN,101,5.6,0.883
40,17790,LICEO BICENTENARIO DE EXCELENCIA NUEVO MUNDO,434,5.57,0.879
41,4165,LICEO INDUSTRIAL SAMUEL VIVANCO PARADA,648,5.42,0.879
42,10482,COLEGIO ARTURO PRAT,348,5.61,0.877
43,6027,COMPLEJO EDUCACIONAL MONSEÑOR FRCO. VALDES S,295,5.6,0.874
44,2102,LICEO TECNICO A-4,587,5.75,0.87
45,2937,LICEO INDUSTRIAL SUPERIOR,626,5.47,0.867
46,3998,LICEO POLIVALENTE LUIS CRUZ MARTINEZ,394,5.75,0.867
47,6347,ESCUELA PARTICULAR SUBVENCIONADA LA FAMILIA,81,5.88,0.865
48,12242,COLEGIO PUDAHUEL,622,5.55,0.864
49,3305,INSTITUTO POLITECNICO IRENEO BADILLA FUENTES,722,5.43,0.862
