,RBD,NOM_RBD,Total_Alumnos,Promedio_Anual,Volatilidad_Rendimiento
0,25136,COMPLEJO EDUCACIONAL SAN ALFONSO,305,4.48,1.731
1,3003,COLEGIO PIAGET,104,4.74,1.707
2,25362,ESC.PART. TALLERES PREVOCACIONALES PADRE HURT,81,4.79,1.67
3,31064,COLEGIO ALBORADA DE LAMPA,420,5.04,1.62
4,9547,ESCUELA BAS. PART. QUEEN & FLOWER COLLEGE,256,5.3,1.616
5,24459,COLEGIO BETANIA,81,4.44,1.59
6,26434,COLEGIO ALVARO LAVÍN,80,4.8,1.588
7,3165,LICEO CONSTITUCION,517,5.01,1.585
8,9985,LICEO GUILLERMO LABARCA HUBERTSON,397,4.84,1.545
9,4561,LICEO JUAN MARTINEZ DE ROZAS,86,4.89,1.492
10,2947,ESCUELA LAS ARAUCARIAS,80,4.84,1.476
11,5049,ESCUELA BASICA VICENTE MILLAN IRIARTE,211,5.39,1.473
12,9294,LICEO ANDRES BELLO,290,5.29,1.42
13,9293,LICEO POLIVALENTE LOS ALMENDROS,330,5.18,1.4
14,5374,LICEO ALONSO DE ERCILLA Y ZUÑIGA,314,5.25,1.377
15,16452,LICEO POLITECNICO DE CURICO,480,5.29,1.375
16,25970,ESCUELA BAS. Y ESP. EDUCAR,51,5.38,1.373
17,8508,LICEO POLIVALENTE JUAN A.RIOS,329,4.96,1.353
18,19953,ESCUELA BILINGUE AMUL KEWUN,77,5.29,1.342
19,25230,ESC.BAS.Y ESP.INTEGRAL STA. ROSA DE CHENA.,189,5.39,1.332
20,8654,COLEGIO POLITECNICO AVDA. INDEPENDENCIA,209,4.95,1.324
21,14868,LICEO TECNICO AGRICOLA OBISPO RAFAEL LIRA INF,186,4.88,1.314
22,25390,ESC.BASICA PART. ACONCAGUA DE PUDAHUEL,207,5.43,1.3
23,14397,COLEGIO CRISTIANO DE QUILLOTA,376,4.97,1.295
24,3434,LICEO GUILLERMO MARIN LARRAIN,792,5.17,1.295
25,25851,ESC. PART. EL ARRAYAN DE MAIPU,293,5.5,1.275
26,11201,BRITISH SCHOOL SAN ANTONIO,131,5.4,1.275
27,16604,INSTITUTO LATINOAMERICANO-EUROPEO DE,112,4.92,1.271
28,1438,COLEGIO SAULO DE TARSO,119,5.29,1.269
29,9345,ESCUELA PARTICULAR LOS CASTANOS,71,4.95,1.268
30,1664,LICEO INDUSTRIAL MIRAFLORES ALTO,320,5.41,1.262
31,7328,LICEO RAHUE,412,5.02,1.254
32,10452,LICEO PUENTE ALTO,344,4.9,1.25
33,2089,ESCUELA PARTICULAR SAN JOSE,75,5.61,1.25
34,16652,CENTRO EDUCATIVO MACHU PICCHU,306,5.61,1.242
35,25543,COLEGIO POLIV. SAN CRISTOBAL APOSTOL,265,5.24,1.242
36,1302,LICEO RINCONADA DE SILVA,176,5.42,1.242
37,2681,LICEO BICENTENARIO EL ROSARIO,272,5.21,1.238
38,10628,COLEGIO ARAGON,473,5.65,1.234
39,8715,COLEGIO SAO PAULO,340,5.4,1.229
40,1511,CENTRO EDUCATIVO REINO DE SUECIA,61,5.34,1.228
41,20037,LICEO COMERCIAL DEL DESARROLLO,230,5.22,1.227
42,440,COLEGIO PARROQUIAL PADRE NEGRO,1056,5.52,1.223
43,22218,COLEGIO PUFUDI,265,5.49,1.215
44,1384,COLEGIO CUMBRES DE BOCO,227,5.61,1.212
45,24445,LICEO MUNICIPAL EL ROBLE,237,5.5,1.209
46,10482,COLEGIO ARTURO PRAT,382,5.61,1.206
47,4647,COLEGIO PARTICULAR ALONSO DE ERCILLA,129,5.5,1.204
48,40099,LICEO TECNICO PROFESIONAL PAPUDO,169,5.24,1.202
49,10377,LICEO POLIVALENTE SAINT ANDREWS,386,5.37,1.2
